Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_grayhole_reset_sequence,0.4244,1.2185,0.283,414.176,0.805
rule_grayhole_different_origins,0.4247,1.3723,0.326,412.319,0.843
rule_random_replay_timestamp_diff_incremento_anomalo,0.4253,1.2094,0.236,444.562,0.877
rule_high_StNum_cb_status_frame_length_diff_anomalous,0.4254,0.6405,0.315,157.601,0.951
rule_random_replay_goose_length_diff_alternancia,0.4258,0.9845,0.237,375.779,0.9
rule_injection_timestamp_diff_anomaly,0.4259,1.0234,0.253,333.831,0.9
rule_random_replay_timestamp_diff_pequeno,0.426,0.5315,0.249,155.498,0.886
rule_inverse_replay_rajada_de_pacotes,0.4283,0.9743,0.249,313.923,0.893
rule_masquerade_fake_fault_ethsrc_ethdst_injection,0.4285,0.9383,0.331,300.448,0.889
rule_injection_rajada_de_pacotes_em_intervalo_muito_curto,0.4286,0.8886,0.277,332.587,0.843
rule_masquerade_fake_fault_timestamp_anomaly,0.43,0.6041,0.248,177.3,0.891
rule_grayhole_anomalous_frequency,0.4303,0.9066,0.29,370.667,0.833
rule_masquerade_fake_fault_falsification_disjuntor,0.4312,0.5393,0.334,139.867,0.902
rule_high_StNum_falsification_pattern,0.432,0.3736,0.333,29.732,0.909
rule_grayhole_different_destinations,0.4334,0.5518,0.324,109.284,0.93
rule_inverse_replay_grayhole,0.4338,0.8887,0.292,199.403,0.857
rule_grayhole_cbstatus_change,0.4341,1.3428,0.281,559.703,0.8115
rule_inverse_replay_pacotes_desaparecidos,0.435,0.567,0.291,153.502,0.87
rule_grayhole_tdif_replay,0.4356,0.8579,0.252,321.851,0.856
rule_grayhole_tdif_change_sense_sequence,0.4363,0.5997,0.248,169.983,0.85
rule_poisoned_high_rate_stnum,0.4367,0.5698,0.243,132.229,0.941
rule_random_replay_large_stdiff,0.4376,1.0214,0.234,341.805,0.891
rule_injection_falsification_pattern,0.438,1.035,0.323,346.384,0.95
rule_high_StNum_flood_pattern,0.4394,0.8261,0.282,309.162,0.839
rule_random_replay_goose_length_diff_anomalia,0.4419,0.9036,0.244,327.722,0.917
rule_high_StNum_stnum_frame_length_diff_anomalous,0.4427,0.6524,0.289,137.764,0.905
rule_masquerade_fake_fault_jumps_stnum_time_diff,0.4463,1.6127,0.313,616.238,0.825
rule_grayhole_timefromlastchange_replay,0.4477,0.6174,0.252,129.218,0.925
rule_inverse_replay_frequencia_irregular_mudanca_estado,0.449,1.0069,0.31,427.806,0.831
rule_grayhole_tdif_change_sense,0.4507,1.1207,0.246,338.047,0.9
rule_poisoned_high_rate_anomaly_statistical,0.4519,0.5712,0.307,131.053,0.85
rule_injection_pacotes_que_desaparecem_e_reaparecem_com_numeros_de_sequencia_fora_de_ordem,0.4523,0.7519,0.37,269.565,0.974
rule_masquerade_fake_fault_state_anomaly,0.4523,1.1988,0.253,395.06,0.904
rule_grayhole_cbstatus_time_diff,0.4524,0.5376,0.293,132.575,0.877
rule_injection_st_num_e_sq_num_fora_de_ordem,0.4547,0.9002,0.369,333.619,0.941
rule_grayhole_tdiff_nonzero,0.4575,2.8795,0.219,931.809,0.998
rule_inverse_replay_pacotes_tdiff_grande,0.4586,0.8459,0.243,190.738,0.927
rule_masquerade_fake_fault_falsification_consistente,0.4597,0.9218,0.36,223.734,0.94
rule_inverse_replay_anomalous_frequency,0.4605,0.7866,0.324,257.684,0.875
rule_inverse_replay_flood_packets,0.4609,0.8442,0.291,324.622,0.869
rule_masquerade_fake_fault_combination,0.4611,0.5446,0.341,138.34,1.022
rule_inverse_replay_inconsistencia,0.4616,1.4213,0.324,590.707,0.894
rule_grayhole_suspicious_sqnum,0.4629,1.7446,0.219,456.844,1.038
rule_inverse_replay_inconsistencies,0.4633,0.6095,0.323,126.129,0.8925
rule_inverse_replay_inconsistencias_campos_derivados,0.4652,0.5875,0.325,104.09,0.888
rule_high_StNum_masquerade_pattern,0.4675,0.8843,0.359,335.608,0.907
rule_poisoned_high_rate_less_used,0.4681,0.7654,0.311,140.921,0.9085
rule_injection_desvio_significativo_em_relacao_a_media_mediana_do_trafego_normal,0.4688,0.8986,0.329,339.081,0.84
rule_poisoned_high_rate_frequency_irregular,0.4721,0.5853,0.309,127.804,0.963
rule_injection_cbstatus_diff_outside_expected,0.4751,1.0359,0.333,316.77,0.836
rule_masquerade_fake_normal_jumps_stnum_time_diff,0.4752,0.9452,0.322,360.736,0.948
rule_inverse_replay_frequencia_irregular_mudanca_estado_disjuntor,0.4756,1.6334,0.31,561.209,0.932
rule_high_StNum_replay,0.4767,1.2096,0.321,444.604,0.905
rule_high_StNum_cb_status_timestamp_diff_delay_anomalous,0.4774,0.8885,0.359,342.569,1.095
rule_grayhole_falsification_state,0.4775,1.0651,0.354,376.046,1.054
rule_masquerade_fake_fault_combination2,0.4781,1.6472,0.345,629.711,1.064
rule_grayhole_timefromlastchange_change_sense,0.4782,0.4821,0.255,55.035,1.005
rule_grayhole_jumps_stnum_diff,0.4787,0.6286,0.298,160.118,0.984
rule_injection_cbstatus_falsification,0.4796,1.0668,0.314,404.417,0.903
rule_grayhole_timefromlastchange_change_sense_sequence,0.4803,1.1429,0.25,402.954,1.02
rule_high_StNum_cb_status_go_id_reset,0.4812,0.4935,0.316,102.011,1.0895
rule_injection_jumps_stnum_time_diff,0.4835,1.6363,0.376,627.641,1.004
rule_high_StNum_cb_status_timestamp_diff_anomalous,0.4865,0.9232,0.318,317.167,0.914
rule_masquerade_fake_fault_packet_disappearance,0.4868,0.8248,0.347,309.798,0.895
rule_injection_frequencia_irregular_de_mensagens,0.4883,1.1481,0.331,389.688,0.889
rule_grayhole_sqnum_jumps,0.4916,1.2219,0.311,386.916,0.902
rule_masquerade_fake_normal_cbstatus_timestamp_diff,0.4918,0.5063,0.327,93.35,0.912
rule_injection_incrementos_anomais_em_sequencia,0.4919,0.5879,0.407,137.386,0.991
rule_high_StNum_cb_status_timestamp_diff_frame_length_diff_anomalous,0.4926,0.8768,0.364,324.854,1.096
rule_masquerade_fake_fault_packet_reappearance,0.4931,0.5254,0.35,137.645,0.9195
rule_injection_freq_anomalous,0.4931,1.7502,0.339,736.891,0.906
rule_inverse_replay_combination,0.4932,0.9144,0.345,351.346,1.057
rule_inverse_replay_retransmissao_exata,0.4934,0.4439,0.348,124.68,0.991
rule_injection_sqnum_time_diff,0.4937,0.9064,0.335,250.204,0.8985
rule_high_StNum_anomalies_frequency,0.4941,1.3931,0.335,417.649,0.911
rule_random_replay_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.4944,0.9741,0.246,337.249,1.01
rule_high_StNum_jumps_stnum_time_diff,0.495,1.047,0.316,392.084,0.906
rule_inverse_replay_combinado,0.4953,0.9245,0.345,280.683,1.034
rule_grayhole_replay,0.4957,0.819,0.348,289.502,0.922
rule_high_StNum_cb_status_go_id_apdu_size_diff,0.4988,1.0628,0.367,352.58,1.05
rule_masquerade_fake_normal_injection,0.4988,1.058,0.379,323.747,0.993
rule_inverse_replay_replay_old_packets,0.499,0.68,0.314,129.147,1.04
